FID Name Type Covariate R2 pvalue
23426 "Total Lipids in HDL" Metabolites time_day 0.00862 0
23427 "Total Concentration of Lipoprotein Particles" Metabolites PCs 0.00443 1e-221
23427 "Total Concentration of Lipoprotein Particles" Metabolites age_recruitment 0.01153 0
23427 "Total Concentration of Lipoprotein Particles" Metabolites assessment_centre 0.00304 9e-205
23427 "Total Concentration of Lipoprotein Particles" Metabolites batch 0.0113 0
23427 "Total Concentration of Lipoprotein Particles" Metabolites bmi 0.0198 0
23427 "Total Concentration of Lipoprotein Particles" Metabolites fasting 0.00046 6e-36
23427 "Total Concentration of Lipoprotein Particles" Metabolites month_attending 0.001 4e-66
23427 "Total Concentration of Lipoprotein Particles" Metabolites sex 0.10883 0
23427 "Total Concentration of Lipoprotein Particles" Metabolites smoking 0.00177 9e-131
23427 "Total Concentration of Lipoprotein Particles" Metabolites spectrometer 0.03443 0
23427 "Total Concentration of Lipoprotein Particles" Metabolites time_analysis 0.01505 0
23427 "Total Concentration of Lipoprotein Particles" Metabolites time_day 0.00031 1e-24
23428 "Concentration of VLDL Particles" Metabolites PCs 0.00567 3e-287
23428 "Concentration of VLDL Particles" Metabolites age_recruitment 0.02394 0
23428 "Concentration of VLDL Particles" Metabolites assessment_centre 0.00463 7e-275
23428 "Concentration of VLDL Particles" Metabolites batch 0.00237 8e-140
23428 "Concentration of VLDL Particles" Metabolites bmi 0.03099 0
23428 "Concentration of VLDL Particles" Metabolites fasting 2e-04 1e-14
23428 "Concentration of VLDL Particles" Metabolites month_attending 0.0011 1e-62
23428 "Concentration of VLDL Particles" Metabolites sex 0.01401 4e-176
23428 "Concentration of VLDL Particles" Metabolites smoking 0.00227 4e-145
23428 "Concentration of VLDL Particles" Metabolites spectrometer 0.00347 3e-215
23428 "Concentration of VLDL Particles" Metabolites time_analysis 0.00155 2e-84
23428 "Concentration of VLDL Particles" Metabolites time_day 0.00032 2e-22
23429 "Concentration of LDL Particles" Metabolites PCs 0.00262 3e-118
23429 "Concentration of LDL Particles" Metabolites age_recruitment 0.02313 0
23429 "Concentration of LDL Particles" Metabolites assessment_centre 0.0032 2e-180
23429 "Concentration of LDL Particles" Metabolites batch 0.00296 7e-172
23429 "Concentration of LDL Particles" Metabolites bmi 0.00193 2e-121
23429 "Concentration of LDL Particles" Metabolites fasting 0.00062 1e-40
23429 "Concentration of LDL Particles" Metabolites month_attending 0.00102 5e-56
23429 "Concentration of LDL Particles" Metabolites sex 0.01414 2e-104
23429 "Concentration of LDL Particles" Metabolites smoking 0.00101 3e-63
23429 "Concentration of LDL Particles" Metabolites spectrometer 0.00834 0
23429 "Concentration of LDL Particles" Metabolites time_analysis 0.00411 2e-236
23429 "Concentration of LDL Particles" Metabolites time_day 0.00122 2e-77
23430 "Concentration of HDL Particles" Metabolites PCs 0.00415 3e-181
23430 "Concentration of HDL Particles" Metabolites age_recruitment 0.00813 0
23430 "Concentration of HDL Particles" Metabolites assessment_centre 0.00271 6e-181
23430 "Concentration of HDL Particles" Metabolites batch 0.01094 0
23430 "Concentration of HDL Particles" Metabolites bmi 0.02407 0
23430 "Concentration of HDL Particles" Metabolites fasting 0.00037 6e-29
